variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
sw_w256,1024,128,64,4,3,0.1006
sw_w256,1024,128,64,8,2,0.1007
sw_w256,1024,128,128,4,2,0.1006
sw_w256,1024,128,128,8,2,0.1006
sw_w256,1024,256,32,8,2,0.1007
sw_w256,1024,256,64,8,2,0.1007
sw_w256,1024,256,64,4,2,0.1006
sw_w256,2048,64,32,4,3,0.2076
sw_w256,2048,64,32,4,4,0.2076
sw_w256,2048,64,64,4,3,0.2075
sw_w256,2048,64,64,8,2,0.2078
sw_w256,2048,64,128,4,2,0.2076
sw_w256,2048,64,128,8,2,0.2076
sw_w256,2048,128,32,4,4,0.2075
sw_w256,2048,128,32,8,3,0.2078
sw_w256,2048,128,64,4,3,0.2080
sw_w256,2048,128,64,8,2,0.2076
sw_w256,2048,128,128,4,2,0.2078
sw_w256,2048,128,128,8,2,0.2079
sw_w256,2048,256,32,8,2,0.2075
sw_w256,2048,256,64,8,2,0.2075
sw_w256,2048,256,64,4,2,0.2075
sw_w256,4096,64,32,4,3,0.3142
sw_w256,4096,64,32,4,4,0.3143
sw_w256,4096,64,64,4,3,0.3142
sw_w256,4096,64,64,8,2,0.3142
sw_w256,4096,64,128,4,2,0.3144
sw_w256,4096,64,128,8,2,0.3141
sw_w256,4096,128,32,4,4,0.3137
sw_w256,4096,128,32,8,3,0.3142
sw_w256,4096,128,64,4,3,0.3140
sw_w256,4096,128,64,8,2,0.3137
sw_w256,4096,128,128,4,2,0.3141
sw_w256,4096,128,128,8,2,0.3140
sw_w256,4096,256,32,8,2,0.3141
sw_w256,4096,256,64,8,2,0.3142
sw_w256,4096,256,64,4,2,0.3140
causal_alibi,512,64,32,4,3,0.0706
causal_alibi,512,64,32,4,4,0.0707
causal_alibi,512,64,64,4,3,0.0707
causal_alibi,512,64,64,8,2,0.0707
causal_alibi,512,64,128,4,2,0.0706
causal_alibi,512,64,128,8,2,0.0706
causal_alibi,512,128,32,4,4,0.0706
causal_alibi,512,128,32,8,3,0.0707
causal_alibi,512,128,64,4,3,0.0707
causal_alibi,512,128,64,8,2,0.0707
causal_alibi,512,128,128,4,2,0.0707
causal_alibi,512,128,128,8,2,0.0707
causal_alibi,512,256,32,8,2,0.0706
causal_alibi,512,256,64,8,2,0.0706
causal_alibi,512,256,64,4,2,0.0706
causal_alibi,1024,64,32,4,3,0.1475
causal_alibi,1024,64,32,4,4,0.1475
causal_alibi,1024,64,64,4,3,0.1475
causal_alibi,1024,64,64,8,2,0.1475
causal_alibi,1024,64,128,4,2,0.1474
causal_alibi,1024,64,128,8,2,0.1475
causal_alibi,1024,128,32,4,4,0.1474
