# Config sweep  device=NVIDIA GeForce RTX 3090
# torch=2.5.1+cu121  2026-05-23 02:16:34

  BM=128 BN=128 warps=8 stages=2  0.1669 ms

=== sw_w256        N=2048 ===
  BM= 64 BN= 32 warps=4 stages=3  0.2468 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.2611 ms
  BM= 64 BN=128 warps=4 stages=2  0.2980 ms
  BM= 64 BN=128 warps=8 stages=2  0.5975 ms
  BM=128 BN= 32 warps=4 stages=4  0.3251 ms
  BM=128 BN= 32 warps=8 stages=3  0.2785 ms
  BM=128 BN= 64 warps=4 stages=3  0.3144 ms
  BM=128 BN= 64 warps=8 stages=2  0.3389 ms
  BM=128 BN=128 warps=4 stages=2  0.3000 ms
  BM=128 BN=128 warps=8 stages=2  0.2918 ms

=== sw_w256        N=4096 ===
  BM= 64 BN= 32 warps=4 stages=3  0.4352 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.4741 ms
  BM= 64 BN=128 warps=4 stages=2  0.5724 ms
  BM= 64 BN=128 warps=8 stages=2  1.0977 ms
  BM=128 BN= 32 warps=4 stages=4  0.5668 ms
  BM=128 BN= 32 warps=8 stages=3  0.4864 ms
  BM=128 BN= 64 warps=4 stages=3  0.5540 ms
  BM=128 BN= 64 warps=8 stages=2  0.6021 ms
  BM=128 BN=128 warps=4 stages=2  0.5862 ms
  BM=128 BN=128 warps=8 stages=2  0.5960 ms

=== causal_alibi   N=512 ===
  BM= 64 BN= 32 warps=4 stages=3  0.0947 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.0942 ms *
  BM= 64 BN=128 warps=4 stages=2  0.0937 ms *
  BM= 64 BN=128 warps=8 stages=2  0.1075 ms
  BM=128 BN= 32 warps=4 stages=4  0.0952 ms
  BM=128 BN= 32 warps=8 stages=3  0.0911 ms *
  BM=128 BN= 64 warps=4 stages=3  0.0916 ms
  BM=128 BN= 64 warps=8 stages=2  0.0942 ms
  BM=128 BN=128 warps=4 stages=2  0.0911 ms
  BM=128 BN=128 warps=8 stages=2  0.0911 ms

=== causal_alibi   N=1024 ===
  BM= 64 BN= 32 warps=4 stages=3  0.1495 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.1659 ms
  BM= 64 BN=128 warps=4 stages=2  0.1659 ms
  BM= 64 BN=128 warps=8 stages=2  0.3328 ms
  BM=128 BN= 32 warps=4 stages=4  0.2089 ms
  BM=128 BN= 32 warps=8 stages=3  0.1756 ms
  BM=128 BN= 64 warps=4 stages=3  0.2161 ms
  BM=128 BN= 64 warps=8 stages=2  0.1838 ms
  BM=128 BN=128 warps=4 stages=2  0.2161 ms
  BM=128 BN=128 warps=8 stages=2  0.1956 ms

=== causal_alibi   N=2048 ===
  BM= 64 BN= 32 warps=4 stages=3  0.4884 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.5514 ms
  BM= 64 BN=128 warps=4 stages=2  0.5396 ms
  BM= 64 BN=128 warps=8 stages=2  1.1392 ms
  BM=128 BN= 32 warps=4 stages=4  0.5637 ms
  BM=128 BN= 32 warps=8 stages=3  0.4869 ms *
  BM=128 BN= 64 warps=4 stages=3  0.5796 ms
  BM=128 BN= 64 warps=8 stages=2  0.4997 ms
  BM=128 BN=128 warps=4 stages=2  0.5970 ms
  BM=128 BN=128 warps=8 stages=2  0.5468 ms

=== causal_alibi   N=4096 ===
  BM= 64 BN= 32 warps=4 stages=3  1.7997 ms *
  BM= 64 BN= 64 warps=4 stages=3  1.9185 ms
  BM= 64 BN=128 warps=4 stages=2  1.8842 ms
  BM= 64 BN=128 warps=8 stages=2  3.8707 ms
  BM=128 BN= 32 warps=4 stages=4  2.0449 ms
  BM=128 BN= 32 warps=8 stages=3  1.8033 ms
  BM=128 BN= 64 warps=4 stages=3  2.0516 ms
  BM=128 BN= 64 warps=8 stages=2  1.8575 ms
  BM=128 BN=128 warps=4 stages=2  2.0828 ms
  BM=128 BN=128 warps=8 stages=2  2.0070 ms

======================================================================
Variant            N   BM   BN  warps  stages          ms
----------------------------------------------------------------------
causal           512  128  128      8       2     0.0870
causal          1024   64   32      4       3     0.1526
causal          2048  128   32      8       3     0.4823
causal          4096   64   32      4       3     1.7925
causal_alibi     512  128   32      8       3     0.0911
causal_alibi    1024   64   32      4       3     0.1495
causal_alibi    2048  128   32      8       3     0.4869
causal_alibi    4096   64   32      4       3     1.7997
dense            512   64   32      4       3     0.0717
dense           1024  128   64      8       2     0.2068
dense           2048  128   64      8       2     0.7741
dense           4096  128   64      8       2     3.0843
sw_w256          512   64   64      4       3     0.0753
sw_w256         1024   64   32      4       3     0.1270
sw_w256         2048   64   32      4       3     0.2468
sw_w256         4096   64   32      4       3     0.4352

[ok] wrote results/e2e_2026-05-22/config_sweep.csv
