# Config sweep  device=NVIDIA GeForce RTX 3090
# torch=2.5.1+cu121  2026-05-23 02:41:01

  BM=128 BN=128 warps=4 stages=2  0.4695 ms
  BM=128 BN=128 warps=8 stages=2  0.4746 ms
  BM=256 BN= 32 warps=8 stages=2  0.4562 ms
  BM=256 BN= 64 warps=8 stages=2  0.4731 ms
  BM=256 BN= 64 warps=4 stages=2  0.4582 ms

=== causal         N=4096 ===
  BM= 64 BN= 32 warps=4 stages=3  1.8063 ms *
  BM= 64 BN= 32 warps=4 stages=4  1.8263 ms
  BM= 64 BN= 64 warps=4 stages=3  1.8156 ms
  BM= 64 BN= 64 warps=8 stages=2  1.8099 ms
  BM= 64 BN=128 warps=4 stages=2  1.8120 ms
  BM= 64 BN=128 warps=8 stages=2  1.8094 ms
  BM=128 BN= 32 warps=4 stages=4  1.7987 ms *
  BM=128 BN= 32 warps=8 stages=3  1.8099 ms
  BM=128 BN= 64 warps=4 stages=3  1.8068 ms
  BM=128 BN= 64 warps=8 stages=2  1.8115 ms
  BM=128 BN=128 warps=4 stages=2  1.8207 ms
  BM=128 BN=128 warps=8 stages=2  1.8166 ms
  BM=256 BN= 32 warps=8 stages=2  1.8161 ms
  BM=256 BN= 64 warps=8 stages=2  1.8074 ms
  BM=256 BN= 64 warps=4 stages=2  1.8125 ms

=== sw_w256        N=512 ===
  BM= 64 BN= 32 warps=4 stages=3  0.0932 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.0916 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.0911 ms *
  BM= 64 BN= 64 warps=8 stages=2  0.0906 ms *
  BM= 64 BN=128 warps=4 stages=2  0.1004 ms
  BM= 64 BN=128 warps=8 stages=2  0.0896 ms *
  BM=128 BN= 32 warps=4 stages=4  0.0922 ms
  BM=128 BN= 32 warps=8 stages=3  0.0932 ms
  BM=128 BN= 64 warps=4 stages=3  0.1004 ms
  BM=128 BN= 64 warps=8 stages=2  0.0922 ms
  BM=128 BN=128 warps=4 stages=2  0.0922 ms
  BM=128 BN=128 warps=8 stages=2  0.0932 ms
  BM=256 BN= 32 warps=8 stages=2  0.0922 ms
  BM=256 BN= 64 warps=8 stages=2  0.0932 ms
  BM=256 BN= 64 warps=4 stages=2  0.0922 ms

=== sw_w256        N=1024 ===
  BM= 64 BN= 32 warps=4 stages=3  0.1147 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.1137 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.1137 ms
  BM= 64 BN= 64 warps=8 stages=2  0.1147 ms
  BM= 64 BN=128 warps=4 stages=2  0.1157 ms
  BM= 64 BN=128 warps=8 stages=2  0.1147 ms
  BM=128 BN= 32 warps=4 stages=4  0.1147 ms
  BM=128 BN= 32 warps=8 stages=3  0.1147 ms
  BM=128 BN= 64 warps=4 stages=3  0.1137 ms
  BM=128 BN= 64 warps=8 stages=2  0.1137 ms
  BM=128 BN=128 warps=4 stages=2  0.1147 ms
  BM=128 BN=128 warps=8 stages=2  0.1147 ms
  BM=256 BN= 32 warps=8 stages=2  0.1152 ms
  BM=256 BN= 64 warps=8 stages=2  0.1157 ms
  BM=256 BN= 64 warps=4 stages=2  0.1147 ms

=== sw_w256        N=2048 ===
  BM= 64 BN= 32 warps=4 stages=3  0.2243 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.2243 ms
  BM= 64 BN= 64 warps=4 stages=3  0.2232 ms *
  BM= 64 BN= 64 warps=8 stages=2  0.2232 ms
  BM= 64 BN=128 warps=4 stages=2  0.2232 ms
  BM= 64 BN=128 warps=8 stages=2  0.2232 ms
  BM=128 BN= 32 warps=4 stages=4  0.2253 ms
  BM=128 BN= 32 warps=8 stages=3  0.2253 ms
  BM=128 BN= 64 warps=4 stages=3  0.2243 ms
  BM=128 BN= 64 warps=8 stages=2  0.2243 ms
  BM=128 BN=128 warps=4 stages=2  0.2232 ms
  BM=128 BN=128 warps=8 stages=2  0.2232 ms
  BM=256 BN= 32 warps=8 stages=2  0.2232 ms
  BM=256 BN= 64 warps=8 stages=2  0.2248 ms
  BM=256 BN= 64 warps=4 stages=2  0.2263 ms

=== sw_w256        N=4096 ===
  BM= 64 BN= 32 warps=4 stages=3  0.4449 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.4710 ms
  BM= 64 BN= 64 warps=4 stages=3  0.4536 ms
  BM= 64 BN= 64 warps=8 stages=2  0.4680 ms
  BM= 64 BN=128 warps=4 stages=2  0.4490 ms
  BM= 64 BN=128 warps=8 stages=2  0.4710 ms
  BM=128 BN= 32 warps=4 stages=4  0.4506 ms
  BM=128 BN= 32 warps=8 stages=3  0.4695 ms
  BM=128 BN= 64 warps=4 stages=3  0.4526 ms
  BM=128 BN= 64 warps=8 stages=2  0.4659 ms
  BM=128 BN=128 warps=4 stages=2  0.4649 ms
  BM=128 BN=128 warps=8 stages=2  0.4536 ms
  BM=256 BN= 32 warps=8 stages=2  0.4680 ms
  BM=256 BN= 64 warps=8 stages=2  0.4495 ms
  BM=256 BN= 64 warps=4 stages=2  0.4680 ms

=== causal_alibi   N=512 ===
  BM= 64 BN= 32 warps=4 stages=3  0.0932 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.0937 ms
  BM= 64 BN= 64 warps=4 stages=3  0.0911 ms *
  BM= 64 BN= 64 warps=8 stages=2  0.0901 ms *
  BM= 64 BN=128 warps=4 stages=2  0.0922 ms
  BM= 64 BN=128 warps=8 stages=2  0.0942 ms
  BM=128 BN= 32 warps=4 stages=4  0.0942 ms
  BM=128 BN= 32 warps=8 stages=3  0.0942 ms
  BM=128 BN= 64 warps=4 stages=3  0.0947 ms
  BM=128 BN= 64 warps=8 stages=2  0.0922 ms
  BM=128 BN=128 warps=4 stages=2  0.0932 ms
  BM=128 BN=128 warps=8 stages=2  0.0911 ms
  BM=256 BN= 32 warps=8 stages=2  0.0922 ms
  BM=256 BN= 64 warps=8 stages=2  0.0901 ms
  BM=256 BN= 64 warps=4 stages=2  0.0906 ms

=== causal_alibi   N=1024 ===
  BM= 64 BN= 32 warps=4 stages=3  0.1352 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.1362 ms
  BM= 64 BN= 64 warps=4 stages=3  0.1362 ms
  BM= 64 BN= 64 warps=8 stages=2  0.1372 ms
  BM= 64 BN=128 warps=4 stages=2  0.1357 ms
  BM= 64 BN=128 warps=8 stages=2  0.1352 ms
  BM=128 BN= 32 warps=4 stages=4  0.1367 ms
  BM=128 BN= 32 warps=8 stages=3  0.1352 ms
  BM=128 BN= 64 warps=4 stages=3  0.1362 ms
  BM=128 BN= 64 warps=8 stages=2  0.1362 ms
  BM=128 BN=128 warps=4 stages=2  0.1372 ms
  BM=128 BN=128 warps=8 stages=2  0.1362 ms
  BM=256 BN= 32 warps=8 stages=2  0.1362 ms
  BM=256 BN= 64 warps=8 stages=2  0.1362 ms
  BM=256 BN= 64 warps=4 stages=2  0.1352 ms

=== causal_alibi   N=2048 ===
  BM= 64 BN= 32 warps=4 stages=3  0.4495 ms *
  BM= 64 BN= 32 warps=4 stages=4  0.4731 ms
  BM= 64 BN= 64 warps=4 stages=3  0.4557 ms
  BM= 64 BN= 64 warps=8 stages=2  0.4690 ms
  BM= 64 BN=128 warps=4 stages=2  0.4695 ms
  BM= 64 BN=128 warps=8 stages=2  0.4552 ms
  BM=128 BN= 32 warps=4 stages=4  0.4726 ms
  BM=128 BN= 32 warps=8 stages=3  0.4577 ms
  BM=128 BN= 64 warps=4 stages=3  0.4654 ms
  BM=128 BN= 64 warps=8 stages=2  0.4664 ms
  BM=128 BN=128 warps=4 stages=2  0.4526 ms
  BM=128 BN=128 warps=8 stages=2  0.4700 ms
  BM=256 BN= 32 warps=8 stages=2  0.4664 ms
  BM=256 BN= 64 warps=8 stages=2  0.4547 ms
  BM=256 BN= 64 warps=4 stages=2  0.4685 ms

=== causal_alibi   N=4096 ===
  BM= 64 BN= 32 warps=4 stages=3  1.8278 ms *
  BM= 64 BN= 32 warps=4 stages=4  1.8258 ms *
  BM= 64 BN= 64 warps=4 stages=3  1.8232 ms *
  BM= 64 BN= 64 warps=8 stages=2  1.8278 ms
  BM= 64 BN=128 warps=4 stages=2  1.7838 ms *
  BM= 64 BN=128 warps=8 stages=2  1.8033 ms
  BM=128 BN= 32 warps=4 stages=4  1.7900 ms
  BM=128 BN= 32 warps=8 stages=3  1.8207 ms
  BM=128 BN= 64 warps=4 stages=3  1.8207 ms
  BM=128 BN= 64 warps=8 stages=2  1.8145 ms
  BM=128 BN=128 warps=4 stages=2  1.8191 ms
  BM=128 BN=128 warps=8 stages=2  1.8140 ms
  BM=256 BN= 32 warps=8 stages=2  1.7981 ms
  BM=256 BN= 64 warps=8 stages=2  1.8171 ms
