variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
sw_w256,1024,128,64,4,3,0.0736
sw_w256,1024,128,64,8,2,0.0736
sw_w256,1024,128,128,4,2,0.0739
sw_w256,1024,128,128,8,2,0.0739
sw_w256,1024,256,32,8,2,0.0737
sw_w256,1024,256,64,8,2,0.0736
sw_w256,1024,256,64,4,2,0.0738
sw_w256,2048,64,32,4,3,0.1240
sw_w256,2048,64,32,4,4,0.1240
sw_w256,2048,64,64,4,3,0.1240
sw_w256,2048,64,64,8,2,0.1240
sw_w256,2048,64,128,4,2,0.1239
sw_w256,2048,64,128,8,2,0.1238
sw_w256,2048,128,32,4,4,0.1242
sw_w256,2048,128,32,8,3,0.1240
sw_w256,2048,128,64,4,3,0.1241
sw_w256,2048,128,64,8,2,0.1239
sw_w256,2048,128,128,4,2,0.1242
sw_w256,2048,128,128,8,2,0.1239
sw_w256,2048,256,32,8,2,0.1240
sw_w256,2048,256,64,8,2,0.1241
sw_w256,2048,256,64,4,2,0.1241
sw_w256,4096,64,32,4,3,0.2415
sw_w256,4096,64,32,4,4,0.2414
sw_w256,4096,64,64,4,3,0.2411
sw_w256,4096,64,64,8,2,0.2413
sw_w256,4096,64,128,4,2,0.2414
sw_w256,4096,64,128,8,2,0.2412
sw_w256,4096,128,32,4,4,0.2413
sw_w256,4096,128,32,8,3,0.2412
sw_w256,4096,128,64,4,3,0.2413
sw_w256,4096,128,64,8,2,0.2414
sw_w256,4096,128,128,4,2,0.2412
sw_w256,4096,128,128,8,2,0.2413
sw_w256,4096,256,32,8,2,0.2415
sw_w256,4096,256,64,8,2,0.2417
sw_w256,4096,256,64,4,2,0.2413
causal_alibi,512,64,32,4,3,0.0611
causal_alibi,512,64,32,4,4,0.0598
causal_alibi,512,64,64,4,3,0.0605
causal_alibi,512,64,64,8,2,0.0614
causal_alibi,512,64,128,4,2,0.0606
causal_alibi,512,64,128,8,2,0.0610
causal_alibi,512,128,32,4,4,0.0614
causal_alibi,512,128,32,8,3,0.0618
causal_alibi,512,128,64,4,3,0.0623
causal_alibi,512,128,64,8,2,0.0614
causal_alibi,512,128,128,4,2,0.0611
causal_alibi,512,128,128,8,2,0.0612
causal_alibi,512,256,32,8,2,0.0614
causal_alibi,512,256,64,8,2,0.0614
causal_alibi,512,256,64,4,2,0.0615
causal_alibi,1024,64,32,4,3,0.0892
causal_alibi,1024,64,32,4,4,0.0891
causal_alibi,1024,64,64,4,3,0.0891
causal_alibi,1024,64,64,8,2,0.0892
causal_alibi,1024,64,128,4,2,0.0891
causal_alibi,1024,64,128,8,2,0.0891
causal_alibi,1024,128,32,4,4,0.0891
causal_alibi,1024,128,32,8,3,0.0891
causal_alibi,1024,128,64,4,3,0.0892
causal_alibi,1024,128,64,8,2,0.0891
causal_alibi,1024,128,128,4,2,0.0890
causal_alibi,1024,128,128,8,2,0.0891
causal_alibi,1024,256,32,8,2,0.0891
causal_alibi,1024,256,64,8,2,0.0891
causal_alibi,1024,256,64,4,2,0.0891
causal_alibi,2048,64,32,4,3,0.2569
causal_alibi,2048,64,32,4,4,0.2571
causal_alibi,2048,64,64,4,3,0.2561
causal_alibi,2048,64,64,8,2,0.2570
causal_alibi,2048,64,128,4,2,0.2552
causal_alibi,2048,64,128,8,2,0.2561
causal_alibi,2048,128,32,4,4,0.2559
causal_alibi,2048,128,32,8,3,0.2566
causal_alibi,2048,128,64,4,3,0.2577
causal_alibi,2048,128,64,8,2,0.2572
causal_alibi,2048,128,128,4,2,0.2568
causal_alibi,2048,128,128,8,2,0.2564
causal_alibi,2048,256,32,8,2,0.2566
causal_alibi,2048,256,64,8,2,0.2560
causal_alibi,2048,256,64,4,2,0.2557
causal_alibi,4096,64,32,4,3,0.8290
causal_alibi,4096,64,32,4,4,0.8256
causal_alibi,4096,64,64,4,3,0.8240
causal_alibi,4096,64,64,8,2,0.8270
causal_alibi,4096,64,128,4,2,0.8243
causal_alibi,4096,64,128,8,2,0.8256
causal_alibi,4096,128,32,4,4,0.8256
causal_alibi,4096,128,32,8,3,0.8260
causal_alibi,4096,128,64,4,3,0.8257
causal_alibi,4096,128,64,8,2,0.8246
causal_alibi,4096,128,128,4,2,0.8256
causal_alibi,4096,128,128,8,2,0.8238
causal_alibi,4096,256,32,8,2,0.8269
causal_alibi,4096,256,64,8,2,0.8251
causal_alibi,4096,256,64,4,2,0.8222
