model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,167.9,0.100,1.00
llama3-8B,32,8,1024,flex,174.1,0.096,1.04
llama3-8B,32,8,4096,attnfuse,1493.5,0.045,1.00
llama3-8B,32,8,4096,flex,177.2,0.379,0.12
llama3-8B,32,8,16384,attnfuse,5915.1,0.045,1.00
llama3-8B,32,8,16384,flex,187.9,1.429,0.03
llama3-8B,32,8,32768,attnfuse,11877.4,0.045,1.00
llama3-8B,32,8,32768,flex,185.3,2.897,0.02
llama3-70B,64,8,1024,attnfuse,171.5,0.196,1.00
llama3-70B,64,8,1024,flex,179.7,0.187,1.05
llama3-70B,64,8,4096,attnfuse,3440.1,0.039,1.00
llama3-70B,64,8,4096,flex,181.2,0.741,0.05
llama3-70B,64,8,16384,attnfuse,13856.3,0.039,1.00
llama3-70B,64,8,16384,flex,186.4,2.881,0.01
llama3-70B,64,8,32768,attnfuse,27879.9,0.039,1.00
llama3-70B,64,8,32768,flex,186.4,5.761,0.01
falcon-MQA,64,1,1024,attnfuse,173.6,0.193,1.00
falcon-MQA,64,1,1024,flex,176.6,0.190,1.02
falcon-MQA,64,1,4096,attnfuse,3227.1,0.042,1.00
falcon-MQA,64,1,4096,flex,180.2,0.745,0.06
falcon-MQA,64,1,16384,attnfuse,12508.7,0.043,1.00
falcon-MQA,64,1,16384,flex,183.3,2.929,0.01
falcon-MQA,64,1,32768,attnfuse,24786.4,0.043,1.00
falcon-MQA,64,1,32768,flex,187.4,5.730,0.01
