model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,160.8,0.104,1.00
llama3-8B,32,8,1024,flex,174.1,0.096,1.08
llama3-8B,32,8,4096,attnfuse,163.8,0.410,1.00
llama3-8B,32,8,4096,flex,180.2,0.372,1.10
llama3-8B,32,8,16384,attnfuse,173.1,1.551,1.00
llama3-8B,32,8,16384,flex,182.3,1.473,1.05
llama3-8B,32,8,32768,attnfuse,289.3,1.856,1.00
llama3-8B,32,8,32768,flex,195.1,2.752,0.67
llama3-70B,64,8,1024,attnfuse,170.0,0.197,1.00
llama3-70B,64,8,1024,flex,180.7,0.186,1.06
llama3-70B,64,8,4096,attnfuse,171.5,0.783,1.00
llama3-70B,64,8,4096,flex,180.2,0.745,1.05
llama3-70B,64,8,16384,attnfuse,273.4,1.964,1.00
llama3-70B,64,8,16384,flex,188.4,2.849,0.69
llama3-70B,64,8,32768,attnfuse,532.5,2.016,1.00
llama3-70B,64,8,32768,flex,196.6,5.461,0.37
falcon-MQA,64,1,1024,attnfuse,165.9,0.202,1.00
falcon-MQA,64,1,1024,flex,176.1,0.191,1.06
falcon-MQA,64,1,4096,attnfuse,171.0,0.785,1.00
falcon-MQA,64,1,4096,flex,181.2,0.741,1.06
falcon-MQA,64,1,16384,attnfuse,266.2,2.016,1.00
falcon-MQA,64,1,16384,flex,185.3,2.897,0.70
falcon-MQA,64,1,32768,attnfuse,531.5,2.020,1.00
falcon-MQA,64,1,32768,flex,188.4,5.699,0.35
