variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
causal_alibi,1024,128,64,8,2,0.1838
causal_alibi,1024,128,128,4,2,0.2161
causal_alibi,1024,128,128,8,2,0.1956
causal_alibi,2048,64,32,4,3,0.4884
causal_alibi,2048,64,64,4,3,0.5514
causal_alibi,2048,64,128,4,2,0.5396
causal_alibi,2048,64,128,8,2,1.1392
causal_alibi,2048,128,32,4,4,0.5637
causal_alibi,2048,128,32,8,3,0.4869
causal_alibi,2048,128,64,4,3,0.5796
causal_alibi,2048,128,64,8,2,0.4997
causal_alibi,2048,128,128,4,2,0.5970
causal_alibi,2048,128,128,8,2,0.5468
causal_alibi,4096,64,32,4,3,1.7997
causal_alibi,4096,64,64,4,3,1.9185
causal_alibi,4096,64,128,4,2,1.8842
causal_alibi,4096,64,128,8,2,3.8707
causal_alibi,4096,128,32,4,4,2.0449
causal_alibi,4096,128,32,8,3,1.8033
causal_alibi,4096,128,64,4,3,2.0516
causal_alibi,4096,128,64,8,2,1.8575
causal_alibi,4096,128,128,4,2,2.0828
causal_alibi,4096,128,128,8,2,2.0070
